Sensor_ID,Timestamp,Voltage (V),Current (A),Temperature (°C),Power (W),Humidity (%),Vibration (m/s²),Equipment_ID,Operational Status,Fault Status,Failure Type,Last Maintenance Date,Maintenance Type,Failure History,Repair Time (hrs),Maintenance Costs (USD),Ambient Temperature (°C),Ambient Humidity (%),External Factors,X,Y,Z,Equipment Relationship,Equipment Criticality,Fault Detected,Predictive Maintenance Trigger
S_11,2024-01-01 10:00:00,110,0.5,20,55.0,40,0.2,E_11,Operational,No Fault,Overheating,2024-12-01,Preventive,No Fault,0,150,20,40,Clear Weather,10,10,10,Dependent,High,0,0
S_12,2024-01-01 11:00:00,111,0.6,21,66.6,41,0.25,E_12,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,160,21,41,Storm,11,11,11,Dependent,Medium,0,0
S_13,2024-01-01 12:00:00,112,0.7,22,78.4,42,0.3,E_13,Operational,Fault Detected,Overload,2024-12-01,Preventive,Fault Detected,7,170,22,42,Clear Weather,12,12,12,Independent,High,1,1
S_14,2024-01-01 13:00:00,113,0.8,23,90.4,43,0.35,E_14,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,180,23,43,Storm,13,13,13,Dependent,Medium,0,0
S_15,2024-01-01 14:00:00,114,0.9,24,102.6,44,0.4,E_15,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,190,24,44,Clear Weather,14,14,14,Dependent,High,0,0
S_16,2024-01-01 15:00:00,115,0.5,25,57.5,45,0.2,E_16,Under Maintenance,Fault Detected,Overheating,2024-12-01,Corrective,No Fault,5,200,20,40,Storm,15,15,15,Independent,Medium,1,0
S_17,2024-01-01 16:00:00,116,0.6,26,69.6,46,0.25,E_17,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,210,21,41,Clear Weather,16,16,16,Dependent,High,0,1
S_18,2024-01-01 17:00:00,117,0.7,27,81.9,47,0.3,E_18,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,220,22,42,Storm,17,17,17,Dependent,Medium,0,0
S_19,2024-01-01 18:00:00,118,0.8,28,94.4,48,0.35,E_19,Operational,Fault Detected,None,2024-12-01,Preventive,Fault Detected,8,230,23,43,Clear Weather,18,18,18,Independent,High,1,0
S_20,2024-01-01 19:00:00,119,0.9,29,107.1,49,0.4,E_20,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,240,24,44,Storm,19,19,19,Dependent,Medium,0,0
S_21,2024-01-01 20:00:00,110,0.5,20,55.0,40,0.2,E_21,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,150,20,40,Clear Weather,20,20,20,Dependent,High,0,1
S_22,2024-01-01 21:00:00,111,0.6,21,66.6,41,0.25,E_22,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,6,160,21,41,Storm,21,21,21,Independent,Medium,1,0
S_23,2024-01-01 22:00:00,112,0.7,22,78.4,42,0.3,E_23,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,170,22,42,Clear Weather,22,22,22,Dependent,High,0,0
S_24,2024-01-01 23:00:00,113,0.8,23,90.4,43,0.35,E_24,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,180,23,43,Storm,23,23,23,Dependent,Medium,0,0
S_25,2024-01-02 00:00:00,114,0.9,24,102.6,44,0.4,E_25,Operational,Fault Detected,Overload,2024-12-01,Preventive,Fault Detected,9,190,24,44,Clear Weather,24,24,24,Independent,High,1,1
S_26,2024-01-02 01:00:00,115,0.5,25,57.5,45,0.2,E_26,Under Maintenance,No Fault,Overheating,2024-12-01,Corrective,No Fault,0,200,20,40,Storm,25,25,25,Dependent,Medium,0,0
S_27,2024-01-02 02:00:00,116,0.6,26,69.6,46,0.25,E_27,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,210,21,41,Clear Weather,26,26,26,Dependent,High,0,0
S_28,2024-01-02 03:00:00,117,0.7,27,81.9,47,0.3,E_28,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,7,220,22,42,Storm,27,27,27,Independent,Medium,1,0
S_29,2024-01-02 04:00:00,118,0.8,28,94.4,48,0.35,E_29,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,230,23,43,Clear Weather,28,28,28,Dependent,High,0,1
S_30,2024-01-02 05:00:00,119,0.9,29,107.1,49,0.4,E_30,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,240,24,44,Storm,29,29,29,Dependent,Medium,0,0
S_31,2024-01-02 06:00:00,110,0.5,20,55.0,40,0.2,E_31,Operational,Fault Detected,Overheating,2024-12-01,Preventive,Fault Detected,5,150,20,40,Clear Weather,30,30,0,Independent,High,1,0
S_32,2024-01-02 07:00:00,111,0.6,21,66.6,41,0.25,E_32,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,160,21,41,Storm,31,31,1,Dependent,Medium,0,0
S_33,2024-01-02 08:00:00,112,0.7,22,78.4,42,0.3,E_33,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,170,22,42,Clear Weather,32,32,2,Dependent,High,0,1
S_34,2024-01-02 09:00:00,113,0.8,23,90.4,43,0.35,E_34,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,8,180,23,43,Storm,33,33,3,Independent,Medium,1,0
S_35,2024-01-02 10:00:00,114,0.9,24,102.6,44,0.4,E_35,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,190,24,44,Clear Weather,34,34,4,Dependent,High,0,0
S_36,2024-01-02 11:00:00,115,0.5,25,57.5,45,0.2,E_36,Under Maintenance,No Fault,Overheating,2024-12-01,Corrective,No Fault,0,200,20,40,Storm,35,35,5,Dependent,Medium,0,0
S_37,2024-01-02 12:00:00,116,0.6,26,69.6,46,0.25,E_37,Operational,Fault Detected,Overload,2024-12-01,Preventive,Fault Detected,6,210,21,41,Clear Weather,36,36,6,Independent,High,1,1
S_38,2024-01-02 13:00:00,117,0.7,27,81.9,47,0.3,E_38,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,220,22,42,Storm,37,37,7,Dependent,Medium,0,0
S_39,2024-01-02 14:00:00,118,0.8,28,94.4,48,0.35,E_39,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,230,23,43,Clear Weather,38,38,8,Dependent,High,0,0
S_40,2024-01-02 15:00:00,119,0.9,29,107.1,49,0.4,E_40,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,9,240,24,44,Storm,39,39,9,Independent,Medium,1,0
S_41,2024-01-02 16:00:00,110,0.5,20,55.0,40,0.2,E_41,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,150,20,40,Clear Weather,40,40,10,Dependent,High,0,1
S_42,2024-01-02 17:00:00,111,0.6,21,66.6,41,0.25,E_42,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,160,21,41,Storm,41,41,11,Dependent,Medium,0,0
S_43,2024-01-02 18:00:00,112,0.7,22,78.4,42,0.3,E_43,Operational,Fault Detected,None,2024-12-01,Preventive,Fault Detected,7,170,22,42,Clear Weather,42,42,12,Independent,High,1,0
S_44,2024-01-02 19:00:00,113,0.8,23,90.4,43,0.35,E_44,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,180,23,43,Storm,43,43,13,Dependent,Medium,0,0
S_45,2024-01-02 20:00:00,114,0.9,24,102.6,44,0.4,E_45,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,190,24,44,Clear Weather,44,44,14,Dependent,High,0,1
S_46,2024-01-02 21:00:00,115,0.5,25,57.5,45,0.2,E_46,Under Maintenance,Fault Detected,Overheating,2024-12-01,Corrective,No Fault,5,200,20,40,Storm,45,45,15,Independent,Medium,1,0
S_47,2024-01-02 22:00:00,116,0.6,26,69.6,46,0.25,E_47,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,210,21,41,Clear Weather,46,46,16,Dependent,High,0,0
S_48,2024-01-02 23:00:00,117,0.7,27,81.9,47,0.3,E_48,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,220,22,42,Storm,47,47,17,Dependent,Medium,0,0
S_49,2024-01-03 00:00:00,118,0.8,28,94.4,48,0.35,E_49,Operational,Fault Detected,Overload,2024-12-01,Preventive,Fault Detected,8,230,23,43,Clear Weather,48,48,18,Independent,High,1,1
S_50,2024-01-03 01:00:00,119,0.9,29,107.1,49,0.4,E_50,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,240,24,44,Storm,49,49,19,Dependent,Medium,0,0
S_51,2024-01-03 02:00:00,110,0.5,20,55.0,40,0.2,E_1,Operational,No Fault,Overheating,2024-12-01,Preventive,No Fault,0,150,20,40,Clear Weather,50,0,20,Dependent,High,0,0
S_52,2024-01-03 03:00:00,111,0.6,21,66.6,41,0.25,E_2,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,6,160,21,41,Storm,51,1,21,Independent,Medium,1,0
S_53,2024-01-03 04:00:00,112,0.7,22,78.4,42,0.3,E_3,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,170,22,42,Clear Weather,52,2,22,Dependent,High,0,1
S_54,2024-01-03 05:00:00,113,0.8,23,90.4,43,0.35,E_4,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,180,23,43,Storm,53,3,23,Dependent,Medium,0,0
S_55,2024-01-03 06:00:00,114,0.9,24,102.6,44,0.4,E_5,Operational,Fault Detected,None,2024-12-01,Preventive,Fault Detected,9,190,24,44,Clear Weather,54,4,24,Independent,High,1,0
S_56,2024-01-03 07:00:00,115,0.5,25,57.5,45,0.2,E_6,Under Maintenance,No Fault,Overheating,2024-12-01,Corrective,No Fault,0,200,20,40,Storm,55,5,25,Dependent,Medium,0,0
S_57,2024-01-03 08:00:00,116,0.6,26,69.6,46,0.25,E_7,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,210,21,41,Clear Weather,56,6,26,Dependent,High,0,1
S_58,2024-01-03 09:00:00,117,0.7,27,81.9,47,0.3,E_8,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,7,220,22,42,Storm,57,7,27,Independent,Medium,1,0
S_59,2024-01-03 10:00:00,118,0.8,28,94.4,48,0.35,E_9,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,230,23,43,Clear Weather,58,8,28,Dependent,High,0,0
S_60,2024-01-03 11:00:00,119,0.9,29,107.1,49,0.4,E_10,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,240,24,44,Storm,59,9,29,Dependent,Medium,0,0
S_61,2024-01-03 12:00:00,110,0.5,20,55.0,40,0.2,E_11,Operational,Fault Detected,Overload,2024-12-01,Preventive,Fault Detected,5,150,20,40,Clear Weather,60,10,0,Independent,High,1,1
S_62,2024-01-03 13:00:00,111,0.6,21,66.6,41,0.25,E_12,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,160,21,41,Storm,61,11,1,Dependent,Medium,0,0
S_63,2024-01-03 14:00:00,112,0.7,22,78.4,42,0.3,E_13,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,170,22,42,Clear Weather,62,12,2,Dependent,High,0,0
S_64,2024-01-03 15:00:00,113,0.8,23,90.4,43,0.35,E_14,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,8,180,23,43,Storm,63,13,3,Independent,Medium,1,0
S_65,2024-01-03 16:00:00,114,0.9,24,102.6,44,0.4,E_15,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,190,24,44,Clear Weather,64,14,4,Dependent,High,0,1
S_66,2024-01-03 17:00:00,115,0.5,25,57.5,45,0.2,E_16,Under Maintenance,No Fault,Overheating,2024-12-01,Corrective,No Fault,0,200,20,40,Storm,65,15,5,Dependent,Medium,0,0
S_67,2024-01-03 18:00:00,116,0.6,26,69.6,46,0.25,E_17,Operational,Fault Detected,None,2024-12-01,Preventive,Fault Detected,6,210,21,41,Clear Weather,66,16,6,Independent,High,1,0
S_68,2024-01-03 19:00:00,117,0.7,27,81.9,47,0.3,E_18,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,220,22,42,Storm,67,17,7,Dependent,Medium,0,0
S_69,2024-01-03 20:00:00,118,0.8,28,94.4,48,0.35,E_19,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,230,23,43,Clear Weather,68,18,8,Dependent,High,0,1
S_70,2024-01-03 21:00:00,119,0.9,29,107.1,49,0.4,E_20,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,9,240,24,44,Storm,69,19,9,Independent,Medium,1,0
S_71,2024-01-03 22:00:00,110,0.5,20,55.0,40,0.2,E_21,Operational,No Fault,Overheating,2024-12-01,Preventive,No Fault,0,150,20,40,Clear Weather,70,20,10,Dependent,High,0,0
S_72,2024-01-03 23:00:00,111,0.6,21,66.6,41,0.25,E_22,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,160,21,41,Storm,71,21,11,Dependent,Medium,0,0
S_73,2024-01-04 00:00:00,112,0.7,22,78.4,42,0.3,E_23,Operational,Fault Detected,Overload,2024-12-01,Preventive,Fault Detected,7,170,22,42,Clear Weather,72,22,12,Independent,High,1,1
S_74,2024-01-04 01:00:00,113,0.8,23,90.4,43,0.35,E_24,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,180,23,43,Storm,73,23,13,Dependent,Medium,0,0
S_75,2024-01-04 02:00:00,114,0.9,24,102.6,44,0.4,E_25,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,190,24,44,Clear Weather,74,24,14,Dependent,High,0,0
S_76,2024-01-04 03:00:00,115,0.5,25,57.5,45,0.2,E_26,Under Maintenance,Fault Detected,Overheating,2024-12-01,Corrective,No Fault,5,200,20,40,Storm,75,25,15,Independent,Medium,1,0
S_77,2024-01-04 04:00:00,116,0.6,26,69.6,46,0.25,E_27,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,210,21,41,Clear Weather,76,26,16,Dependent,High,0,1
S_78,2024-01-04 05:00:00,117,0.7,27,81.9,47,0.3,E_28,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,220,22,42,Storm,77,27,17,Dependent,Medium,0,0
S_79,2024-01-04 06:00:00,118,0.8,28,94.4,48,0.35,E_29,Operational,Fault Detected,None,2024-12-01,Preventive,Fault Detected,8,230,23,43,Clear Weather,78,28,18,Independent,High,1,0
S_80,2024-01-04 07:00:00,119,0.9,29,107.1,49,0.4,E_30,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,240,24,44,Storm,79,29,19,Dependent,Medium,0,0
S_81,2024-01-04 08:00:00,110,0.5,20,55.0,40,0.2,E_31,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,150,20,40,Clear Weather,80,30,20,Dependent,High,0,1
S_82,2024-01-04 09:00:00,111,0.6,21,66.6,41,0.25,E_32,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,6,160,21,41,Storm,81,31,21,Independent,Medium,1,0
S_83,2024-01-04 10:00:00,112,0.7,22,78.4,42,0.3,E_33,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,170,22,42,Clear Weather,82,32,22,Dependent,High,0,0
S_84,2024-01-04 11:00:00,113,0.8,23,90.4,43,0.35,E_34,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,180,23,43,Storm,83,33,23,Dependent,Medium,0,0
S_85,2024-01-04 12:00:00,114,0.9,24,102.6,44,0.4,E_35,Operational,Fault Detected,Overload,2024-12-01,Preventive,Fault Detected,9,190,24,44,Clear Weather,84,34,24,Independent,High,1,1
S_86,2024-01-04 13:00:00,115,0.5,25,57.5,45,0.2,E_36,Under Maintenance,No Fault,Overheating,2024-12-01,Corrective,No Fault,0,200,20,40,Storm,85,35,25,Dependent,Medium,0,0
S_87,2024-01-04 14:00:00,116,0.6,26,69.6,46,0.25,E_37,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,210,21,41,Clear Weather,86,36,26,Dependent,High,0,0
S_88,2024-01-04 15:00:00,117,0.7,27,81.9,47,0.3,E_38,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,7,220,22,42,Storm,87,37,27,Independent,Medium,1,0
S_89,2024-01-04 16:00:00,118,0.8,28,94.4,48,0.35,E_39,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,230,23,43,Clear Weather,88,38,28,Dependent,High,0,1
S_90,2024-01-04 17:00:00,119,0.9,29,107.1,49,0.4,E_40,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,240,24,44,Storm,89,39,29,Dependent,Medium,0,0
S_91,2024-01-04 18:00:00,110,0.5,20,55.0,40,0.2,E_41,Operational,Fault Detected,Overheating,2024-12-01,Preventive,Fault Detected,5,150,20,40,Clear Weather,90,40,0,Independent,High,1,0
S_92,2024-01-04 19:00:00,111,0.6,21,66.6,41,0.25,E_42,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,160,21,41,Storm,91,41,1,Dependent,Medium,0,0
S_93,2024-01-04 20:00:00,112,0.7,22,78.4,42,0.3,E_43,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,170,22,42,Clear Weather,92,42,2,Dependent,High,0,1
S_94,2024-01-04 21:00:00,113,0.8,23,90.4,43,0.35,E_44,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,8,180,23,43,Storm,93,43,3,Independent,Medium,1,0
S_95,2024-01-04 22:00:00,114,0.9,24,102.6,44,0.4,E_45,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,190,24,44,Clear Weather,94,44,4,Dependent,High,0,0
S_96,2024-01-04 23:00:00,115,0.5,25,57.5,45,0.2,E_46,Under Maintenance,No Fault,Overheating,2024-12-01,Corrective,No Fault,0,200,20,40,Storm,95,45,5,Dependent,Medium,0,0
S_97,2024-01-05 00:00:00,116,0.6,26,69.6,46,0.25,E_47,Operational,Fault Detected,Overload,2024-12-01,Preventive,Fault Detected,6,210,21,41,Clear Weather,96,46,6,Independent,High,1,1
S_98,2024-01-05 01:00:00,117,0.7,27,81.9,47,0.3,E_48,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,220,22,42,Storm,97,47,7,Dependent,Medium,0,0
S_99,2024-01-05 02:00:00,118,0.8,28,94.4,48,0.35,E_49,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,230,23,43,Clear Weather,98,48,8,Dependent,High,0,0
S_100,2024-01-05 03:00:00,119,0.9,29,107.1,49,0.4,E_50,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,9,240,24,44,Storm,99,49,9,Independent,Medium,1,0
S_101,2024-01-05 04:00:00,110,0.5,20,55.0,40,0.2,E_1,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,150,20,40,Clear Weather,0,0,10,Dependent,High,0,1
S_102,2024-01-05 05:00:00,111,0.6,21,66.6,41,0.25,E_2,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,160,21,41,Storm,1,1,11,Dependent,Medium,0,0
S_103,2024-01-05 06:00:00,112,0.7,22,78.4,42,0.3,E_3,Operational,Fault Detected,None,2024-12-01,Preventive,Fault Detected,7,170,22,42,Clear Weather,2,2,12,Independent,High,1,0
S_104,2024-01-05 07:00:00,113,0.8,23,90.4,43,0.35,E_4,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,180,23,43,Storm,3,3,13,Dependent,Medium,0,0
S_105,2024-01-05 08:00:00,114,0.9,24,102.6,44,0.4,E_5,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,190,24,44,Clear Weather,4,4,14,Dependent,High,0,1
S_106,2024-01-05 09:00:00,115,0.5,25,57.5,45,0.2,E_6,Under Maintenance,Fault Detected,Overheating,2024-12-01,Corrective,No Fault,5,200,20,40,Storm,5,5,15,Independent,Medium,1,0
S_107,2024-01-05 10:00:00,116,0.6,26,69.6,46,0.25,E_7,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,210,21,41,Clear Weather,6,6,16,Dependent,High,0,0
S_108,2024-01-05 11:00:00,117,0.7,27,81.9,47,0.3,E_8,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,220,22,42,Storm,7,7,17,Dependent,Medium,0,0
S_109,2024-01-05 12:00:00,118,0.8,28,94.4,48,0.35,E_9,Operational,Fault Detected,Overload,2024-12-01,Preventive,Fault Detected,8,230,23,43,Clear Weather,8,8,18,Independent,High,1,1
S_110,2024-01-05 13:00:00,119,0.9,29,107.1,49,0.4,E_10,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,240,24,44,Storm,9,9,19,Dependent,Medium,0,0
S_111,2024-01-05 14:00:00,110,0.5,20,55.0,40,0.2,E_11,Operational,No Fault,Overheating,2024-12-01,Preventive,No Fault,0,150,20,40,Clear Weather,10,10,20,Dependent,High,0,0
S_112,2024-01-05 15:00:00,111,0.6,21,66.6,41,0.25,E_12,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,6,160,21,41,Storm,11,11,21,Independent,Medium,1,0
S_113,2024-01-05 16:00:00,112,0.7,22,78.4,42,0.3,E_13,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,170,22,42,Clear Weather,12,12,22,Dependent,High,0,1
S_114,2024-01-05 17:00:00,113,0.8,23,90.4,43,0.35,E_14,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,180,23,43,Storm,13,13,23,Dependent,Medium,0,0
S_115,2024-01-05 18:00:00,114,0.9,24,102.6,44,0.4,E_15,Operational,Fault Detected,None,2024-12-01,Preventive,Fault Detected,9,190,24,44,Clear Weather,14,14,24,Independent,High,1,0
S_116,2024-01-05 19:00:00,115,0.5,25,57.5,45,0.2,E_16,Under Maintenance,No Fault,Overheating,2024-12-01,Corrective,No Fault,0,200,20,40,Storm,15,15,25,Dependent,Medium,0,0
S_117,2024-01-05 20:00:00,116,0.6,26,69.6,46,0.25,E_17,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,210,21,41,Clear Weather,16,16,26,Dependent,High,0,1
S_118,2024-01-05 21:00:00,117,0.7,27,81.9,47,0.3,E_18,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,7,220,22,42,Storm,17,17,27,Independent,Medium,1,0
S_119,2024-01-05 22:00:00,118,0.8,28,94.4,48,0.35,E_19,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,230,23,43,Clear Weather,18,18,28,Dependent,High,0,0
S_120,2024-01-05 23:00:00,119,0.9,29,107.1,49,0.4,E_20,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,240,24,44,Storm,19,19,29,Dependent,Medium,0,0
S_121,2024-01-06 00:00:00,110,0.5,20,55.0,40,0.2,E_21,Operational,Fault Detected,Overload,2024-12-01,Preventive,Fault Detected,5,150,20,40,Clear Weather,20,20,0,Independent,High,1,1
S_122,2024-01-06 01:00:00,111,0.6,21,66.6,41,0.25,E_22,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,160,21,41,Storm,21,21,1,Dependent,Medium,0,0
S_123,2024-01-06 02:00:00,112,0.7,22,78.4,42,0.3,E_23,Operational,No Fault,None,2024-12-01,Preventive,No Fault,0,170,22,42,Clear Weather,22,22,2,Dependent,High,0,0
S_124,2024-01-06 03:00:00,113,0.8,23,90.4,43,0.35,E_24,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,8,180,23,43,Storm,23,23,3,Independent,Medium,1,0
S_125,2024-01-06 04:00:00,114,0.9,24,102.6,44,0.4,E_25,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,190,24,44,Clear Weather,24,24,4,Dependent,High,0,1
S_126,2024-01-06 05:00:00,115,0.5,25,57.5,45,0.2,E_26,Under Maintenance,No Fault,Overheating,2024-12-01,Corrective,No Fault,0,200,20,40,Storm,25,25,5,Dependent,Medium,0,0
S_127,2024-01-06 06:00:00,116,0.6,26,69.6,46,0.25,E_27,Operational,Fault Detected,None,2024-12-01,Preventive,Fault Detected,6,210,21,41,Clear Weather,26,26,6,Independent,High,1,0
S_128,2024-01-06 07:00:00,117,0.7,27,81.9,47,0.3,E_28,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,220,22,42,Storm,27,27,7,Dependent,Medium,0,0
S_129,2024-01-06 08:00:00,118,0.8,28,94.4,48,0.35,E_29,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,230,23,43,Clear Weather,28,28,8,Dependent,High,0,1
S_130,2024-01-06 09:00:00,119,0.9,29,107.1,49,0.4,E_30,Under Maintenance,Fault Detected,None,2024-12-01,Corrective,No Fault,9,240,24,44,Storm,29,29,9,Independent,Medium,1,0
S_131,2024-01-06 10:00:00,110,0.5,20,55.0,40,0.2,E_31,Operational,No Fault,Overheating,2024-12-01,Preventive,No Fault,0,150,20,40,Clear Weather,30,30,10,Dependent,High,0,0
S_132,2024-01-06 11:00:00,111,0.6,21,66.6,41,0.25,E_32,Under Maintenance,No Fault,None,2024-12-01,Corrective,No Fault,0,160,21,41,Storm,31,31,11,Dependent,Medium,0,0
S_133,2024-01-06 12:00:00,112,0.7,22,78.4,42,0.3,E_33,Operational,Fault Detected,Overload,2024-12-01,Preventive,Fault Detected,7,170,22,42,Clear Weather,32,32,12,Independent,High,1,1
